RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.675273875,0.065387475,15,50,15,20,1655411537528,1655411487528,2.5,3,2,0,1655411557560,1655411558061,1655411560216,0
1,1.590141979,0.161464274,15,37.5,15,60,1655411552528,1655411515028,2.5,3,2,0,1655411572572,1655411573073,1655411574133,1
1,0.830753183,0.160827416,15,28.125,15,60,1655411567528,1655411539403,2.5,3,2,0,1655411587564,1655411588065,1655411588375,2
1,2.777332461,0.16630247299999998,15,21.09375,15,60,1655411582528,1655411561434.25,2.5,3,3,0,1655411602565,1655411603066,1655411605323,3
1,2.691895878,0.108569708,15,15.8203125,15,40,1655411597528,1655411581707.6875,2.5,3,3,0,1655411617567,1655411618067,1655411620240,4
1,2.6791308760000003,0.10740021,15,15.8203125,15,40,1655411612528,1655411596707.6875,2.5,3,3,0,1655411632570,1655411633069,1655411635229,5
1,2.6698782970000003,0.10700569400000001,15,15.8203125,15,40,1655411627528,1655411611707.6875,2.5,3,4,0,1655411647574,1655411648075,1655411650220,6
1,2.695584948,0.10555719999999999,15,15.8203125,15,40,1655411642528,1655411626707.6875,2.5,3,4,0,1655411662573,1655411663074,1655411665247,7
1,2.7703468790000003,0.10511313800000001,15,15.8203125,15,40,1655411657528,1655411641707.6875,2.5,3,4,0,1655411677568,1655411678069,1655411680322,8
1,2.7083740859999996,0.110426231,15,15.8203125,15,40,1655411672528,1655411656707.6875,2.5,3,4,0,1655411692573,1655411693074,1655411695262,9
1,2.695333244,0.105357898,15,15.8203125,15,40,1655411687528,1655411671707.6875,2.5,3,4,0,1655411707573,1655411708073,1655411710249,10
1,2.7451794329999997,0.121824993,15,15.8203125,15,40,1655411702528,1655411686707.6875,2.5,3,5,0,1655411722575,1655411723076,1655411725299,11
1,1.8351496749999998,0.112014268,15,15.8203125,15,40,1655411717528,1655411701707.6875,2.5,3,5,0,1655411737573,1655411738073,1655411739391,12
1,2.752366383,0.10853071900000001,15,15.8203125,15,40,1655411732528,1655411716707.6875,2.5,3,5,0,1655411752576,1655411753077,1655411755311,13
1,2.06505947,0.10938762,15,15.8203125,15,40,1655411747528,1655411731707.6875,2.5,3,5,0,1655411767589,1655411768090,1655411769626,14
1,2.8037167629999997,0.13322737699999998,15,15.8203125,15,40,1655411762528,1655411746707.6875,2.5,3,6,0,1655411782583,1655411783084,1655411785365,15
1,2.717447324,0.11132740099999999,15,15.8203125,15,40,1655411777528,1655411761707.6875,2.5,3,6,0,1655411797579,1655411798080,1655411800279,16
1,2.7010981270000003,0.104019603,15,15.8203125,15,40,1655411792528,1655411776707.6875,2.5,3,6,0,1655411812582,1655411813083,1655411815265,17
1,2.6970542230000003,0.10474338400000001,15,15.8203125,15,40,1655411807528,1655411791707.6875,2.5,3,7,0,1655411827590,1655411828090,1655411830267,18
1,2.703100142,0.107753777,15,15.8203125,15,40,1655411822528,1655411806707.6875,2.5,3,7,0,1655411842582,1655411843084,1655411845268,19
1,2.764857316,0.10986451700000001,15,15.8203125,15,40,1655411837528,1655411821707.6875,2.5,3,7,0,1655411857586,1655411858087,1655411860333,20
1,2.742631726,0.125788811,15,15.8203125,15,40,1655411852528,1655411836707.6875,2.5,3,7,0,1655411872597,1655411873098,1655411875315,21
1,2.73607752,0.104246977,15,15.8203125,15,40,1655411867528,1655411851707.6875,2.5,3,7,0,1655411887597,1655411888098,1655411890309,22
1,2.73620313,0.105576785,15,15.8203125,15,40,1655411882528,1655411866707.6875,2.5,3,7,0,1655411902597,1655411903098,1655411905310,23
1,2.723639002,0.107613951,15,15.8203125,15,40,1655411897528,1655411881707.6875,2.5,3,7,0,1655411917600,1655411918101,1655411920300,24
1,2.7258036000000003,0.104627286,15,15.8203125,15,40,1655411912528,1655411896707.6875,2.5,3,7,0,1655411932606,1655411933107,1655411935305,25
