RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.622493763,0.063270091,15,50,15,20,1655417205998,1655417155998,2.5,3,9,0,1655417226119,1655417226618,1655417228727,0
1,2.635652557,0.163435662,15,37.5,15,60,1655417220998,1655417183498,2.5,3,9,0,1655417241123,1655417241623,1655417243740,1
1,2.620947476,0.161295942,15,28.125,15,60,1655417235998,1655417207873,2.5,3,9,0,1655417256123,1655417256623,1655417258725,2
1,2.826566519,0.203187117,15,21.09375,15,60,1655417250998,1655417229904.25,2.5,3,9,0,1655417271123,1655417271622,1655417273931,3
1,2.6275290399999998,0.104787745,15,15.8203125,15,40,1655417265998,1655417250177.6875,2.5,3,9,0,1655417286121,1655417286622,1655417288732,4
1,2.616930192,0.129437813,15,15.8203125,15,40,1655417280998,1655417265177.6875,2.5,3,9,0,1655417301120,1655417301620,1655417303722,5
1,2.109634149,0.102773919,15,15.8203125,15,40,1655417295998,1655417280177.6875,2.5,3,9,0,1655417316119,1655417316620,1655417318215,6
1,2.60581029,0.106815131,15,15.8203125,15,40,1655417310998,1655417295177.6875,2.5,3,10,0,1655417331121,1655417331620,1655417333711,7
1,2.608360583,0.106717387,15,15.8203125,15,40,1655417325998,1655417310177.6875,2.5,3,10,0,1655417346121,1655417346621,1655417348714,8
1,2.626235984,0.11126680500000001,15,15.8203125,15,40,1655417340998,1655417325177.6875,2.5,3,10,0,1655417361120,1655417361620,1655417363732,9
1,2.636504728,0.104096881,15,15.8203125,15,40,1655417355998,1655417340177.6875,2.5,3,10,0,1655417376122,1655417376622,1655417378743,10
1,2.659619984,0.129525261,15,15.8203125,15,40,1655417370998,1655417355177.6875,2.5,3,10,0,1655417391121,1655417391621,1655417393766,11
1,2.649985155,0.111871914,15,15.8203125,15,40,1655417385998,1655417370177.6875,2.5,3,10,0,1655417406121,1655417406621,1655417408757,12
1,2.6310515839999997,0.106336735,15,15.8203125,15,40,1655417400998,1655417385177.6875,2.5,3,10,0,1655417421121,1655417421620,1655417423737,13
1,2.670352878,0.106893394,15,15.8203125,15,40,1655417415998,1655417400177.6875,2.5,3,11,0,1655417436120,1655417436620,1655417438776,14
1,2.6501502369999996,0.121095502,15,15.8203125,15,40,1655417430998,1655417415177.6875,2.5,3,11,0,1655417451119,1655417451620,1655417453756,15
1,2.6493837410000003,0.124469838,15,15.8203125,15,40,1655417445998,1655417430177.6875,2.5,3,11,0,1655417466120,1655417466622,1655417468756,16
1,2.647280703,0.123590078,15,15.8203125,15,40,1655417460998,1655417445177.6875,2.5,3,11,0,1655417481120,1655417481622,1655417483754,17
1,2.892374954,0.155599071,15,15.8203125,15,40,1655417475998,1655417460177.6875,2.5,3,11,0,1655417496120,1655417496621,1655417498999,18
1,2.6896802550000003,0.171995343,15,15.8203125,15,40,1655417490998,1655417475177.6875,2.5,3,11,0,1655417511121,1655417511621,1655417513796,19
1,2.673890671,0.12523394399999999,15,15.8203125,15,40,1655417505998,1655417490177.6875,2.5,3,11,0,1655417526119,1655417526619,1655417528780,20
1,2.660671122,0.14740948399999998,15,15.8203125,15,40,1655417520998,1655417505177.6875,2.5,3,11,0,1655417541121,1655417541632,1655417543767,21
1,2.661205504,0.12199297799999999,15,15.8203125,15,40,1655417535998,1655417520177.6875,2.5,3,12,0,1655417556119,1655417556621,1655417558767,22
1,2.667382599,0.127848139,15,15.8203125,15,40,1655417550998,1655417535177.6875,2.5,3,12,0,1655417571122,1655417571622,1655417573774,23
1,2.660295481,0.123597375,15,15.8203125,15,40,1655417565998,1655417550177.6875,2.5,3,12,0,1655417586122,1655417586625,1655417588767,24
1,2.670539204,0.124915812,15,15.8203125,15,40,1655417580998,1655417565177.6875,2.5,3,12,0,1655417601120,1655417601620,1655417603778,25
1,2.732690576,0.138631022,15,15.8203125,15,40,1655417595998,1655417580177.6875,2.5,3,12,0,1655417616120,1655417616620,1655417618840,26
1,1.558983732,0.128067835,15,15.8203125,15,40,1655417610998,1655417595177.6875,2.5,3,12,0,1655417631120,1655417631620,1655417632666,27
1,2.81427534,0.16282538700000002,15,15.8203125,15,40,1655417625998,1655417610177.6875,2.5,3,12,0,1655417646120,1655417646620,1655417648921,28
1,2.338711968,0.127021653,15,15.8203125,15,40,1655417640998,1655417625177.6875,2.5,3,12,0,1655417661123,1655417661623,1655417663446,29
1,2.6526965479999998,0.125768155,15,15.8203125,15,40,1655417655998,1655417640177.6875,2.5,3,13,0,1655417676121,1655417676628,1655417678761,30
1,2.681985229,0.12032282,15,15.8203125,15,40,1655417670998,1655417655177.6875,2.5,3,13,0,1655417691122,1655417691630,1655417693791,31
1,2.669569498,0.125487144,15,15.8203125,15,40,1655417685998,1655417670177.6875,2.5,3,13,0,1655417706122,1655417706628,1655417708778,32
1,2.700718981,0.122736239,15,15.8203125,15,40,1655417700998,1655417685177.6875,2.5,3,13,0,1655417721122,1655417721630,1655417723809,33
1,2.7074534210000003,0.168519762,15,15.8203125,15,40,1655417715998,1655417700177.6875,2.5,3,13,0,1655417736123,1655417736623,1655417738816,34
1,1.547137853,0.124535179,15,15.8203125,15,40,1655417730998,1655417715177.6875,2.5,3,13,0,1655417751122,1655417751623,1655417752657,35
1,2.6511963890000003,0.141930419,15,15.8203125,15,40,1655417745998,1655417730177.6875,2.5,3,13,0,1655417766124,1655417766624,1655417768760,36
1,1.609110934,0.12525134400000001,15,15.8203125,15,40,1655417760998,1655417745177.6875,2.5,3,13,0,1655417781122,1655417781623,1655417782719,37
1,2.646749801,0.125624612,15,15.8203125,15,40,1655417775998,1655417760177.6875,2.5,3,14,0,1655417796125,1655417796629,1655417798756,38
1,2.877373467,0.12347050500000001,15,15.8203125,15,40,1655417790998,1655417775177.6875,2.5,3,14,0,1655417811123,1655417811635,1655417813987,39
1,2.847354666,0.127731961,15,15.8203125,15,40,1655417805998,1655417790177.6875,2.5,3,14,0,1655417826122,1655417826633,1655417828957,40
1,2.8042707289999997,0.122693654,15,15.8203125,15,40,1655417820998,1655417805177.6875,2.5,3,14,0,1655417841124,1655417841633,1655417843914,41
