MIN,MAX,MEAN,STDEV,NUMBER_ESC_RUNNING
1.079374247,2.6785769850000003,0.9274353460000002,0.8023527846080802,1
1.361121143,2.8750841890000003,1.517031308111111,0.815488869932908,2
1.332289201,2.8642942899999997,1.6904434574,0.7115666487132585,3
0.730747815,2.868995184,1.5338900882333333,0.7210514381953106,4
1.4571089799999999,2.821108221,1.6739131816388886,0.5877976670362404,5
0.958659528,2.826438588,1.6497186882619046,0.6359932612974994,6
0.812754533,2.873734636,1.58919954821875,0.5778361436468332,7
0.8428126109999999,2.852086504,1.6525449656944446,0.5963951509009553,8
0.9453182769999999,2.8636967810000002,1.6071488189916667,0.5305715979395654,9
1.0552539529999998,2.949880956,1.6160701981818184,0.5299416079995547,10
0.866961294,2.9857995070000003,1.7362851229583331,0.5489922900663603,11
0.964519334,3.070319756,1.7301435711987179,0.5727728457430774,12
1.505204344,3.246319242,1.8283877687142858,0.5280898962589656,13
1.36085823,3.0560933070000003,1.8877914901500001,0.5714110481788139,14
1.378620003,3.419014341,1.9076704606138941,0.5207713851967131,15
100,0,0,0,14
100,0,0,0,13
100,0,0,0,12
100,0,0,0,11
100,0,0,0,10
100,0,0,0,9
100,0,0,0,8
100,0,0,0,7
100,0,0,0,6
100,0,0,0,5
100,0,0,0,4
100,0,0,0,3
100,0,0,0,2
100,0,0,0,1
