NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+1931+45,32963299560547+[0,812;0,788;0,827;0,792]+0,8047500000000001+1,6169333333333336+8+600+1+1280+1604865596939+1604864996939
4+1963+37,79962998962402+[0,827;0,802;0,837;0,807]+0,81825+1,6495000000000009+8+600+1+1300+1604865604939+1604865004939
4+2021+43,67520498657227+[0,848;0,832;0,863;0,825]+0,8420000000000001+1,7012274999999997+8+600+1+1320+1604865612939+1604865012939
4+2050+50,99176800537109+[0,862;0,843;0,873;0,838]+0,8540000000000001+1,6541722222222226+8+600+1+1360+1604865620939+1604865020939
4+2106+44,01650399780274+[0,882;0,87;0,898;0,86]+0,8775+1,5959575+8+600+1+1380+1604865628939+1604865028939
4+2144+44,55344799804688+[0,892;0,89;0,918;0,873]+0,8932500000000001+1,5917075000000003+8+600+1+1400+1604865636939+1604865036939
4+2182+42,162345993041995+[0,908;0,902;0,938;0,888]+0,909+1,5763924999999996+8+600+1+1440+1604865644939+1604865044939
4+2234+48,145184997558594+[0,932;0,927;0,96;0,905]+0,931+1,5255558333333334+8+600+1+1460+1604865652939+1604865052939
4+2274+48,06284400939941+[0,945;0,938;0,978;0,928]+0,9472499999999999+1,53545111111111+8+600+1+1480+1604865660939+1604865060939
4+2316+46,75753201293945+[0,957;0,955;0,995;0,953]+0,965+1,556518333333334+8+600+1+1520+1604865668939+1604865068939
4+2361+48,04136199951172+[0,98;0,978;1,01;0,967]+0,98375+1,5826538888888901+8+600+1+1540+1604865676939+1604865076939
4+2408+45,8322919921875+[0,998;0,998;1,03;0,987]+1,00325+1,5660980555555553+8+600+1+1560+1604865684939+1604865084939
4+2437+45,468011993408204+[1,012;1,01;1,042;0,998]+1,0155+1,6038266666666667+8+600+1+1600+1604865692939+1604865092939
4+2487+45,45459700012207+[1,038;1,032;1,063;1,012]+1,03625+1,5945358333333326+8+600+1+1620+1604865700939+1604865100939
4+2525+51,90393798828125+[1,052;1,048;1,083;1,025]+1,052+1,5887816666666665+8+600+1+1640+1604865708939+1604865108939
4+2561+45,612807998657225+[1,063;1,063;1,103;1,038]+1,06675+1,5775816666666664+8+600+1+1680+1604865716939+1604865116939
4+2609+51,53102299499512+[1,082;1,085;1,122;1,06]+1,08725+1,5351650000000008+8+600+1+1700+1604865724939+1604865124939
4+2654+54,519893005371095+[1,103;1,097;1,145;1,078]+1,10575+1,4910944444444434+8+600+1+1720+1604865732939+1604865132939
4+2692+53,55250801086426+[1,118;1,113;1,157;1,098]+1,1215+1,8722102777777767+8+600+1+1760+1604865740939+1604865140939
4+2739+51,52742498779297+[1,133;1,135;1,17;1,127]+1,1412499999999999+2,10517861111111+8+600+1+1780+1604865748939+1604865148939
4+2774+49,59697300720215+[1,148;1,152;1,192;1,132]+1,156+2,3890772222222236+8+600+1+1800+1604865756939+1604865156939
4+2811+51,51291500854492+[1,163;1,157;1,212;1,153]+1,1712500000000001+2,9113699999999985+8+600+1+1840+1604865764939+1604865164939
4+2859+52,64539700317383+[1,195;1,173;1,228;1,168]+1,191+3,204564999999998+8+600+1+1860+1604865772939+1604865172939
4+2925+52,45593600463867+[1,257;1,192;1,245;1,182]+1,2189999999999999+3,4458322222222195+8+600+1+1880+1604865780939+1604865180939
4+2990+56,410641006469724+[1,303;1,223;1,26;1,197]+1,24575+4,011723055555553+8+600+1+1920+1604865788939+1604865188939
4+3068+51,61332501220703+[1,352;1,27;1,278;1,213]+1,2782499999999999+4,234843611111111+8+600+1+1940+1604865796939+1604865196939
4+3166+58,25982699584961+[1,408;1,317;1,322;1,23]+1,3192499999999998+4,3005886111111105+8+600+1+1960+1604865804939+1604865204939
4+3253+52,16736700439453+[1,452;1,36;1,357;1,253]+1,3555000000000001+4,466378888888889+8+600+1+2000+1604865812939+1604865212939
4+3383+56,10454600524902+[1,517;1,413;1,413;1,295]+1,4095+4,563646111111112+8+600+1+2020+1604865820939+1604865220939
4+3462+56,285225997924805+[1,562;1,44;1,44;1,328]+1,4425000000000001+4,652655000000002+8+600+1+2028+1604865828939+1604865228939
4+3523+52,98622200012207+[1,582;1,47;1,467;1,353]+1,468+4,670613055555557+8+600+1+2028+1604865836939+1604865236939
4+3615+51,94550700378418+[1,627;1,525;1,488;1,385]+1,50625+4,700848333333336+8+600+1+2028+1604865844939+1604865244939
4+3710+59,19042399597168+[1,665;1,565;1,532;1,422]+1,546+4,7305986111111125+8+600+1+2028+1604865852939+1604865252939
4+3763+56,23973600769043+[1,688;1,597;1,552;1,435]+1,568+4,656988611111114+8+600+1+2028+1604865860939+1604865260939
4+3859+53,538740997314456+[1,728;1,638;1,607;1,458]+1,60775+4,637049444444445+8+600+1+2028+1604865868939+1604865268939
4+3944+55,41003399658203+[1,77;1,667;1,643;1,493]+1,64325+4,617151666666667+8+600+1+2028+1604865876939+1604865276939
4+3999+51,459235992431644+[1,79;1,677;1,653;1,545]+1,66625+4,704771111111114+8+600+1+2028+1604865884939+1604865284939
4+4111+50,26752900695801+[1,843;1,73;1,685;1,593]+1,71275+4,68141944444444+8+600+1+2028+1604865892939+1604865292939
4+4186+55,992944000244144+[1,88;1,755;1,712;1,63]+1,7442499999999999+4,7459580555555565+8+600+1+2028+1604865900939+1604865300939
4+4242+51,93707600402832+[1,905;1,798;1,72;1,647]+1,7675+4,808813888888888+8+600+1+2028+1604865908939+1604865308939
4+4324+54,49663101196289+[1,93;1,837;1,768;1,672]+1,80175+4,75333638888889+8+600+1+2028+1604865916939+1604865316939
4+4422+51,89482299804688+[1,97;1,882;1,807;1,712]+1,8427499999999999+4,832209444444444+8+600+1+2028+1604865924939+1604865324939
4+4469+56,34537100219727+[1,982;1,893;1,84;1,733]+1,862+4,776135833333332+8+600+1+2028+1604865932939+1604865332939
4+4561+58,16399200439453+[2,03;1,92;1,892;1,76]+1,9004999999999999+4,7527236111111115+8+600+1+2028+1604865940939+1604865340939
4+4644+58,01587899780274+[2,053;1,972;1,925;1,79]+1,935+4,683974166666669+8+600+1+2028+1604865948939+1604865348939
4+4706+58,534765014648436+[2,07;2,007;1,928;1,838]+1,96075+4,735449999999995+8+600+1+2028+1604865956939+1604865356939
4+4815+53,990822006225585+[2,117;2,048;1,97;1,89]+2,00625+4,740758611111111+8+600+1+2028+1604865964939+1604865364939
4+4913+51,937024993896486+[2,162;2,09;2,017;1,92]+2,04725+4,764529166666665+8+600+1+2028+1604865972939+1604865372939
4+4961+50,752025009155275+[2,182;2,103;2,047;1,937]+2,06725+4,630987777777782+8+600+1+2028+1604865980939+1604865380939
4+5059+63,07382800292969+[2,222;2,148;2,088;1,973]+2,1077500000000002+4,646850000000004+8+600+1+2028+1604865988939+1604865388939
4+5160+57,1115359954834+[2,265;2,177;2,132;2,027]+2,1502499999999998+4,606475833333332+8+600+1+2028+1604865996939+1604865396939
4+5204+56,35277000427246+[2,28;2,202;2,152;2,04]+2,1685+4,6888291666666655+8+600+1+2028+1604866004939+1604865404939
4+5313+56,54386500549317+[2,318;2,265;2,18;2,092]+2,21375+4,903339999999999+8+600+1+2028+1604866012939+1604865412939
4+5389+56,63598498535156+[2,35;2,292;2,222;2,118]+2,2455+4,866376388888887+8+600+1+2028+1604866020939+1604865420939
4+5463+59,48726899719238+[2,388;2,31;2,275;2,132]+2,27625+4,642128055555554+8+600+1+2028+1604866028939+1604865428939
4+5549+55,15710200500488+[2,422;2,352;2,302;2,173]+2,31225+4,620903611111112+8+600+1+2028+1604866036939+1604865436939
4+5645+53,845085006713866+[2,458;2,393;2,32;2,237]+2,352+4,7136461111111085+8+600+1+2028+1604866044939+1604865444939
4+5732+60,5242259979248+[2,49;2,442;2,348;2,273]+2,38825+4,708796944444443+8+600+1+2028+1604866052939+1604865452939
4+5815+58,00976901245117+[2,517;2,475;2,388;2,312]+2,423+4,789056666666665+8+600+1+2028+1604866060939+1604865460939
4+5903+53,3910240020752+[2,555;2,52;2,415;2,348]+2,4595000000000002+4,690794444444448+8+600+1+2028+1604866068939+1604865468939
4+5970+56,05845999145508+[2,577;2,557;2,448;2,368]+2,4875000000000003+4,747900833333339+8+600+1+2028+1604866076939+1604865476939
4+6059+52,4072440032959+[2,603;2,588;2,49;2,417]+2,5245+4,742845833333331+8+600+1+2028+1604866084939+1604865484939
4+6142+55,56090600585937+[2,647;2,615;2,537;2,438]+2,55925+4,667653888888888+8+600+1+2028+1604866092939+1604865492939
4+6208+60,00104499816894+[2,677;2,64;2,56;2,47]+2,5867500000000003+4,688063333333335+8+600+1+2028+1604866100939+1604865500939
4+6311+55,14845100402832+[2,708;2,698;2,592;2,52]+2,6295+4,81287722222222+8+600+1+2028+1604866108939+1604865508939
4+6392+59,60501100158692+[2,747;2,743;2,615;2,548]+2,66325+4,788607222222223+8+600+1+2028+1604866116939+1604865516939
4+6450+54,891968994140626+[2,768;2,762;2,655;2,565]+2,6874999999999996+4,748738611111117+8+600+1+2028+1604866124939+1604865524939
4+6557+58,28838200378418+[2,807;2,813;2,707;2,602]+2,73225+4,646076388888889+8+600+1+2028+1604866132939+1604865532939
4+6644+54,722288009643556+[2,843;2,838;2,73;2,662]+2,76825+4,554800000000001+8+600+1+2028+1604866140939+1604865540939
4+6712+57,46579699707031+[2,882;2,848;2,765;2,692]+2,7967500000000003+4,585107500000005+8+600+1+2028+1604866148939+1604865548939
4+6784+59,216593002319335+[2,907;2,878;2,797;2,725]+2,82675+4,661950277777776+8+600+1+2028+1604866156939+1604865556939
4+6846+60,63551600646973+[2,942;2,902;2,823;2,743]+2,8525+4,611749166666666+8+600+1+2028+1604866164939+1604865564939
4+6926+56,031212997436526+[2,97;2,95;2,845;2,778]+2,8857500000000003+4,647418055555551+8+600+1+2028+1604866172939+1604865572939
4+7006+54,4012440032959+[3,008;2,973;2,87;2,825]+2,9189999999999996+4,875570000000002+8+600+1+2028+1604866180939+1604865580939
4+7085+55,02347099304199+[3,05;3,002;2,91;2,847]+2,95225+4,731182499999999+8+600+1+2028+1604866188939+1604865588939
4+7153+56,191979995727536+[3,062;3,038;2,95;2,872]+2,9805+4,667235000000001+8+600+1+2028+1604866196939+1604865596939
4+7277+56,03030000305176+[3,113;3,087;2,993;2,935]+3,032+4,624396666666663+8+600+1+2028+1604866204939+1604865604939
4+7334+56,72381300354004+[3,15;3,103;3,013;2,957]+3,0557499999999997+4,645004999999996+8+600+1+2028+1604866212939+1604865612939
4+7426+62,56183599853516+[3,183;3,152;3,04;3,002]+3,0942499999999997+4,611406111111109+8+600+1+2028+1604866220939+1604865620939
4+7495+53,687278991699216+[3,217;3,178;3,058;3,038]+3,12275+4,7474005555555525+8+600+1+2028+1604866228939+1604865628939
4+7590+57,827322998046874+[3,26;3,215;3,11;3,065]+3,1624999999999996+4,656317499999996+8+600+1+2028+1604866236939+1604865636939
4+7658+53,05610000610351+[3,288;3,242;3,14;3,093]+3,19075+4,644158611111107+8+600+1+2028+1604866244939+1604865644939
4+7745+57,793376998901365+[3,322;3,28;3,172;3,135]+3,22725+4,643675833333332+8+600+1+2028+1604866252939+1604865652939
