NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+21,032827001571654+[0;0;0;0]+0+8+1800+1+20
4+934+100,57984499931335+[0,129;0,126;0,135;0,129]+0,12975+8+1800+1+1840
4+952+89,17969799995423+[0,133;0,129;0,136;0,13]+0,132+8+1800+1+1860
4+968+86,5816280002594+[0,137;0,133;0,137;0,132]+0,13475+8+1800+1+1880
4+990+91,83238899993897+[0,143;0,136;0,138;0,132]+0,13725+8+1800+1+1920
4+1023+92,88212100028991+[0,153;0,141;0,142;0,133]+0,14225+8+1800+1+1940
4+1054+83,14807799911499+[0,158;0,148;0,146;0,134]+0,1465+8+1800+1+1960
4+1081+105,0503780002594+[0,164;0,152;0,149;0,136]+0,15025+8+1800+1+2000
4+1124+102,68391199874878+[0,172;0,158;0,154;0,141]+0,15625+8+1800+1+2020
4+1160+95,11475+[0,177;0,164;0,159;0,144]+0,161+8+1800+1+2040
4+1190+107,22543200111389+[0,242;0,226;0,217;0,196]+0,22025+8+1350+1+2080
4+1235+102,20219200134278+[0,252;0,233;0,225;0,204]+0,22849999999999998+8+1350+1+2100
4+1272+94,91241300010681+[0,257;0,243;0,232;0,21]+0,2355+8+1350+1+2120
4+1312+105,75867099952698+[0,264;0,251;0,241;0,216]+0,243+8+1350+1+2160
4+1356+96,82673100090027+[0,272;0,259;0,25;0,224]+0,25125000000000003+8+1350+1+2180
4+1397+110,84700199890136+[0,281;0,264;0,256;0,234]+0,25875000000000004+8+1350+1+2200
4+1441+103,07522999954223+[0,287;0,271;0,266;0,243]+0,26675000000000004+8+1350+1+2240
4+1480+101,59338199996948+[0,296;0,278;0,272;0,251]+0,27425+8+1350+1+2260
4+1520+101,74781099891662+[0,304;0,287;0,279;0,256]+0,2815+8+1350+1+2280
4+1555+95,51974199867249+[0,414;0,388;0,379;0,355]+0,384+8+1012,5+1+2320
4+1596+95,99111499977111+[0,42;0,405;0,388;0,363]+0,394+8+1012,5+1+2340
4+1635+94,73635499954224+[0,43;0,415;0,396;0,374]+0,40375000000000005+8+1012,5+1+2360
4+1673+103,69024300003052+[0,434;0,427;0,407;0,385]+0,41325+8+1012,5+1+2400
4+1711+100,48143799972534+[0,444;0,432;0,42;0,394]+0,4225+8+1012,5+1+2420
4+1757+104,47987700080871+[0,46;0,441;0,429;0,405]+0,43375+8+1012,5+1+2440
4+1794+100,2226280002594+[0,468;0,448;0,441;0,414]+0,44275+8+1012,5+1+2480
4+1837+118,76843400001526+[0,479;0,458;0,45;0,427]+0,4535+8+1012,5+1+2500
4+1877+114,5137230014801+[0,488;0,473;0,458;0,435]+0,4635+8+1012,5+1+2520
4+1924+111,3145450000763+[0,669;0,643;0,627;0,596]+0,63375+8+759+1+2560
4+1954+132,8095890007019+[0,681;0,651;0,634;0,609]+0,64375+8+759+1+2560
4+1984+217,91318799972535+[0,689;0,661;0,646;0,618]+0,6535+8+759+1+2560
4+2010+106,2923689994812+[0,693;0,677;0,651;0,627]+0,6619999999999999+8+759+1+2561
4+2043+116,52935899925232+[0,7;0,689;0,665;0,638]+0,6729999999999999+8+759+1+2561
4+1747+80,91317299842835+[0,806;0,792;0,748;0,722]+0,767+8+569,25+1+1928
4+1779+92,9141159992218+[0,812;0,796;0,78;0,738]+0,7815+8+569,25+1+1928
4+1804+95,66448200035096+[0,822;0,806;0,792;0,748]+0,792+8+569,25+1+1928
4+1838+90,7482590007782+[0,833;0,822;0,798;0,776]+0,80725+8+569,25+1+1928
4+1631+78,72933099937438+[0,987;0,996;0,928;0,912]+0,95575+8+426,75+1+1456
4+1657+80,17143499946594+[0,996;1,005;0,944;0,937]+0,9704999999999999+8+426,75+1+1456
4+1679+73,37410799980164+[1,024;1,008;0,968;0,935]+0,98375+8+426,75+1+1456
4+1696+69,66737600135804+[1,026;1,029;0,968;0,951]+0,9934999999999999+8+426,75+1+1456
4+1736+70,90496699905395+[1,047;1,052;0,989;0,979]+1,01675+8+426,75+1+1456
4+1758+76,26063000106811+[1,066;1,064;0,994;0,996]+1,0299999999999998+8+426,75+1+1456
4+1788+78,48388800048828+[1,087;1,066;1,031;1,005]+1,04725+8+426,75+1+1456
4+1800+69,8621609992981+[1,09;1,078;1,029;1,022]+1,05475+8+426,75+1+1456
4+1826+81,46493099975586+[1,104;1,106;1,038;1,031]+1,06975+8+426,75+1+1456
4+1856+71,61136100006104+[1,125;1,122;1,057;1,045]+1,08725+8+426,75+1+1456
4+1880+77,75428100013733+[1,139;1,134;1,08;1,052]+1,1012499999999998+8+426,75+1+1456
4+1910+70,5756760005951+[1,162;1,158;1,092;1,064]+1,119+8+426,75+1+1456
4+1931+75,5691189994812+[1,165;1,176;1,097;1,087]+1,13125+8+426,75+1+1456
4+1975+66,63079199981689+[1,19;1,197;1,132;1,108]+1,1567500000000002+8+426,75+1+1456
4+2001+65,7710739994049+[1,221;1,207;1,141;1,12]+1,17225+8+426,75+1+1456
4+2031+68,7270510005951+[1,226;1,223;1,162;1,148]+1,1897499999999999+8+426,75+1+1456
4+2059+74,6401159992218+[1,23;1,254;1,179;1,162]+1,20625+8+426,75+1+1456
4+2092+68,38212999916077+[1,249;1,284;1,197;1,172]+1,2255+8+426,75+1+1456
4+2122+75,83806900024415+[1,277;1,289;1,221;1,186]+1,24325+8+426,75+1+1456
4+2139+69,777265001297+[1,263;1,291;1,258;1,2]+1,253+8+426,75+1+1456
4+2163+69,42751000022888+[1,261;1,31;1,279;1,219]+1,26725+8+426,75+1+1456
4+2173+87,68670700073243+[1,249;1,303;1,284;1,256]+1,2730000000000001+8+426,75+1+1456
4+2184+77,75635499954224+[1,249;1,303;1,301;1,265]+1,2794999999999999+8+426,75+1+1456
4+2193+70,48348200035095+[1,237;1,317;1,303;1,282]+1,28475+8+426,75+1+1456
4+2185+81,79492400169373+[1,23;1,303;1,298;1,289]+1,28+8+426,75+1+1456
4+2194+82,9743840007782+[1,247;1,305;1,308;1,282]+1,2855+8+426,75+1+1456
